year,latest_released_date,total_records,country_month_pairs,number_reporting_countries,reporting_progress
2008,2024-07-30,3.45e+07,420,35,0.26
2009,2024-07-30,3.53e+07,467,39,0.29
2010,2024-07-31,1.13e+08,1301,117,0.80
2011,2025-05-27,1.22e+08,1394,120,0.86
2012,2024-07-31,1.24e+08,1400,121,0.87
2013,2024-07-31,1.38e+08,1389,119,0.86
2014,2025-06-12,1.44e+08,1442,122,0.89
2015,2024-07-31,1.65e+08,1576,140,0.97
2016,2024-08-01,1.74e+08,1608,139,0.99
2017,2025-06-21,2.11e+08,1607,137,0.99
2018,2025-06-21,1.93e+08,1618,140,1.00
2019,2025-06-21,2.99e+08,1556,134,0.96
2020,2025-06-11,1.99e+08,1541,130,0.95
2021,2025-07-24,2.05e+08,1500,125,0.93
2022,2025-07-19,2.39e+08,1472,128,0.91
2023,2025-07-25,2.65e+08,1404,117,0.87
2024,2025-07-24,2.81e+08,1090,99,0.67
